epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,2491.23,1.28627,0.91762,1.20583,0.87404,0.69024,0.75924,0.51471,1.10157,0.65382,1.03449,0.000589367,0.000589367,0.000589367
19,2686.72,1.29114,0.92694,1.20875,0.90641,0.68431,0.7613,0.53346,0.98798,0.6401,1.02301,0.000588088,0.000588088,0.000588088
20,2811.72,1.28107,0.89421,1.2061,0.90391,0.69958,0.76619,0.54485,0.98675,0.63351,1.00537,0.000586738,0.000586738,0.000586738
21,2945.86,1.28453,0.92397,1.20525,0.87342,0.69487,0.76051,0.52331,1.06151,0.66622,1.02499,0.000585317,0.000585317,0.000585317
22,3073.71,1.26634,0.90673,1.20395,0.92392,0.67701,0.77177,0.53086,1.04372,0.66298,1.01516,0.000583826,0.000583826,0.000583826
23,3229.81,1.28043,0.91738,1.21332,0.928,0.65723,0.75362,0.51811,1.05729,0.66262,1.03323,0.000582264,0.000582264,0.000582264
24,3360.39,1.26903,0.89756,1.19487,0.89902,0.69573,0.76428,0.52935,1.01595,0.63107,1.02265,0.000580633,0.000580633,0.000580633
25,3489.73,1.27376,0.88779,1.20016,0.92675,0.66893,0.75805,0.52719,1.03241,0.63553,1.01584,0.000578933,0.000578933,0.000578933
26,3618.57,1.27652,0.91456,1.20035,0.88849,0.69393,0.75909,0.54546,0.95648,0.62465,1.00245,0.000577164,0.000577164,0.000577164
27,3759.78,1.27252,0.89768,1.20992,0.91209,0.69091,0.76926,0.55377,0.95226,0.61234,1.00875,0.000575327,0.000575327,0.000575327
28,3905.66,1.25771,0.89071,1.18988,0.93384,0.66543,0.76716,0.53582,1.05158,0.62596,1.02617,0.000573421,0.000573421,0.000573421
29,4054.61,1.29651,0.91541,1.21741,0.92504,0.65809,0.75611,0.53599,0.98253,0.6445,1.01229,0.000571448,0.000571448,0.000571448
30,4220.38,1.26784,0.892,1.1983,0.92248,0.66508,0.7601,0.52633,1.0202,0.64635,1.01741,0.000569408,0.000569408,0.000569408
31,4382.82,1.25347,0.87878,1.18843,0.90304,0.6679,0.75674,0.54017,0.98224,0.64733,1.00872,0.000567302,0.000567302,0.000567302
32,4522.65,1.26433,0.89384,1.19621,0.87053,0.67815,0.75559,0.53108,1.00539,0.63894,1.01024,0.00056513,0.00056513,0.00056513
33,4712.16,1.26208,0.89028,1.20266,0.90757,0.67862,0.76577,0.53783,0.98038,0.61425,1.01375,0.000562892,0.000562892,0.000562892
34,4849.13,1.25677,0.87934,1.19404,0.90814,0.68584,0.76651,0.54725,0.96641,0.61406,1.00998,0.00056059,0.00056059,0.00056059
35,4976.2,1.24947,0.86244,1.19241,0.90471,0.69713,0.76964,0.55441,0.94503,0.61517,1.00261,0.000558223,0.000558223,0.000558223
36,5138.07,1.25142,0.87096,1.18599,0.89362,0.69503,0.76612,0.54186,1.02214,0.61511,1.00546,0.000555792,0.000555792,0.000555792
37,5272.98,1.27778,0.88982,1.19899,0.9157,0.68712,0.76812,0.54071,1.01023,0.61479,1.00782,0.000553299,0.000553299,0.000553299
38,5400.79,1.25538,0.86987,1.18655,0.91064,0.6792,0.75513,0.52645,1.03796,0.64164,1.0125,0.000550742,0.000550742,0.000550742
39,5531.86,1.2546,0.86376,1.19211,0.90267,0.68342,0.75992,0.54656,0.96328,0.60943,0.99721,0.000548124,0.000548124,0.000548124
40,5681.53,1.23841,0.85227,1.18633,0.92738,0.66644,0.76782,0.54157,0.98503,0.61785,0.99741,0.000545445,0.000545445,0.000545445
41,5833.91,1.22466,0.85274,1.17263,0.90703,0.68883,0.7683,0.54588,0.98851,0.61726,1.00111,0.000542705,0.000542705,0.000542705
42,5965.43,1.24142,0.86641,1.18399,0.90822,0.67927,0.76256,0.52943,1.03095,0.63341,1.01306,0.000539906,0.000539906,0.000539906
43,6090.81,1.22714,0.85286,1.172,0.89307,0.69792,0.76971,0.53831,1.05504,0.63979,1.02414,0.000537047,0.000537047,0.000537047
44,6217.37,1.27035,0.86896,1.1902,0.92625,0.67525,0.77574,0.56082,0.92753,0.5983,0.98266,0.000534129,0.000534129,0.000534129
45,6343.91,1.23514,0.85888,1.17459,0.92624,0.67915,0.77978,0.55872,0.93602,0.59331,0.9802,0.000531154,0.000531154,0.000531154
46,6468.86,1.23143,0.84825,1.17602,0.93668,0.67086,0.7701,0.5551,0.93876,0.60148,1.00126,0.000528122,0.000528122,0.000528122
47,6593.01,1.21669,0.84271,1.17086,0.93063,0.67491,0.76603,0.52554,1.08464,0.63469,1.02869,0.000525034,0.000525034,0.000525034
48,6784.27,1.21895,0.83377,1.17208,0.92361,0.67278,0.77439,0.5581,0.94037,0.6043,0.98694,0.00052189,0.00052189,0.00052189
49,6909.71,1.22961,0.83528,1.16682,0.92347,0.66921,0.76372,0.53539,1.01876,0.6303,1.00556,0.000518691,0.000518691,0.000518691
50,7094.3,1.22838,0.83628,1.17529,0.93794,0.67722,0.76808,0.5465,1.0104,0.60976,1.00412,0.000515438,0.000515438,0.000515438
51,7219.9,1.22312,0.84018,1.17445,0.89829,0.69588,0.76575,0.53907,1.01746,0.59714,1.01095,0.000512132,0.000512132,0.000512132
52,7346.3,1.21462,0.83174,1.17241,0.90929,0.68241,0.77296,0.54479,1.00961,0.61249,1.00478,0.000508774,0.000508774,0.000508774
53,7474.21,1.21714,0.81905,1.16098,0.89361,0.68487,0.76656,0.55562,0.93211,0.61173,0.98732,0.000505365,0.000505365,0.000505365
54,7630.88,1.23339,0.83966,1.17753,0.91352,0.69342,0.76878,0.54765,0.97984,0.60069,0.9843,0.000501904,0.000501904,0.000501904
55,7804.06,1.21093,0.82387,1.16292,0.92833,0.67191,0.77101,0.55813,0.94005,0.59603,0.98831,0.000498394,0.000498394,0.000498394
56,7930.54,1.22909,0.82274,1.16846,0.90865,0.69268,0.77796,0.55477,0.93588,0.57109,0.98236,0.000494835,0.000494835,0.000494835
57,8065.63,1.21965,0.82497,1.1735,0.94117,0.68306,0.77121,0.56372,0.86809,0.57846,0.96119,0.000491228,0.000491228,0.000491228
58,8195.34,1.22754,0.84393,1.17772,0.93532,0.68385,0.77448,0.5507,0.97159,0.59443,0.98721,0.000487573,0.000487573,0.000487573
59,8325.26,1.22017,0.83069,1.1746,0.91005,0.6897,0.76706,0.54652,0.98931,0.61407,0.99949,0.000483873,0.000483873,0.000483873
60,8471.64,1.20728,0.83634,1.16556,0.91103,0.68217,0.76829,0.5459,0.99549,0.60639,0.99654,0.000480127,0.000480127,0.000480127
61,8631.83,1.21632,0.83297,1.17909,0.9189,0.68448,0.77541,0.54293,0.97139,0.59694,0.99818,0.000476336,0.000476336,0.000476336
62,8760.76,1.20371,0.79738,1.16341,0.90231,0.69839,0.77599,0.56119,0.94089,0.59748,0.9822,0.000472502,0.000472502,0.000472502
